typeID,groupID,typeName,description,mass,volume,capacity,portionSize,raceID,basePrice,published,marketGroupID,iconID,soundID,graphicID
0,0,#System,,1.0000000000,0E-10,0E-10,1,None,None,0,None,None,None,0
2,2,Corporation,,0E-10,0E-10,0E-10,1,None,None,0,None,None,None,0
3,3,Region,,0E-10,1.0000000000,0E-10,1,None,None,0,None,None,None,0
4,4,Constellation,,0E-10,1.0000000000,0E-10,1,None,None,0,None,None,None,0
5,5,Solar System,,0E-10,1.0000000000,0E-10,1,None,None,0,None,None,None,0
6,6,Sun G5 (Yellow),"A main-sequence stellar body of a class that is often yellow or yellow-orange in hue, generating and emitting energy from the vast hydrogen fusion process within the heart of the star.

Various numbers of planets of the terrestrial and gas giant types are found around these stars and the habitable zones often contain one or more planets.",1000000000000000000.0000000000,1.0000000000,0E-10,1,None,None,0,None,None,None,21457
7,6,Sun K7 (Orange),"Yellow-orange and orange stars of this type are rather stable and believed to take tens of billions of years to burn through their core hydrogen reserves in a process of thermonuclear fusion. 

This stability and long life, combined with the common presence of planetary systems marks these as viable candidates for colonization and exploration efforts.",1000000000000000000.0000000000,1.0000000000,0E-10,1,None,None,0,None,None,20095,21459
8,6,Sun K5 (Red Giant),"This large red star has exhausted its core hydrogen fuel and is slowly expanding into a red giant, consuming all remaining hydrogen in the stellar shell. 

While the process of expansion into a full red giant will take hundreds of millions of years, eventually the star will engulf any planetary system orbiting close to it.",1000000000000000000.0000000000,1.0000000000,0E-10,1,None,None,0,None,None,20097,21462
9,6,Sun B0 (Blue),"This luminous blue star belongs to a class known for powerful stellar winds and rapid rotation. These stars generate most of their energy at the center of their mass in a thermonuclear fusion process involving a carbon-nitrogen-oxygen (CNO) catalytic cycle. Stars of this type generally show strong non-ionized helium lines and some have a chemistry that results in very strong lines, leading to the designation 'helium-strong'.",1000000000000000000.0000000000,1.0000000000,0E-10,1,None,None,0,None,None,None,21464
10,6,Sun F0 (White),"A main-sequence star in a class of stellar bodies that are typically white or yellow-white in hue. Hydrogen fusion drives the energy generation of these stars and they are often hot and bright.

Stars of this type can be found with companion stars, are often accompanied by mature planetary systems and tend to emit an ultraviolet radiation flux providing for habitable zones conducive to human occupation.",1000000000000000000.0000000000,1.0000000000,0E-10,1,None,None,0,None,None,20098,21466
11,7,Planet (Temperate),"Life-bearing worlds are often referred to as ""temperate"", as their mild temperatures are one of their defining features. Planets with existing, stable ecosystems are prime targets for colonization efforts as they are generally easier to make fully habitable; as a result, the majority of highly populated worlds are of this type. Indeed, it is not altogether uncommon for detailed surveys to reveal signs of previous settlements from various stages of New Eden's history.",99999999999999996863366107917975552.0000000000,1.0000000000,0E-10,1,None,None,0,None,10136,None,3832
12,7,Planet (Ice),"The majority of icy planets went through a period of being barren terrestrials, before being surfaced with ice over the course of many millennia. The exact process for this varies from case to case, but the end result is both common and visually uniform - a bright, reflective planet scored by countless fractures and crevasses. A few icy planets are hypothesized to have been warmer, liquid-bearing planets in the past that have subsequently frozen, as a result of either stellar cooling or failed terraforming projects.",99999999999999996863366107917975552.0000000000,1.0000000000,0E-10,1,None,None,0,None,10137,None,3834
13,7,Planet (Gas),"Gas planets are characterized by a deep, opaque upper atmosphere, usually composed primarily of light elements such as hydrogen or helium. Simple chemicals can add a range of hues and shades in the visual spectrum, and the interaction between upwellings and rapidly circulating pressure bands result in a huge variety of visible surface structures. A similar level of diversity can be found beneath the cloud-tops: the inner composition of a given gas planet might belong to any one of a dozen broad groups, with no two planets entirely alike in this regard.",99999999999999996863366107917975552.0000000000,1.0000000000,0E-10,1,None,None,0,None,10139,None,3833
14,8,Moon,,99999999999999996863366107917975552.0000000000,1.0000000000,0E-10,1,None,None,0,None,10141,None,10
15,9,Asteroid Belt,,99999999999999996863366107917975552.0000000000,1.0000000000,0E-10,1,None,None,0,None,15,9,0
16,10,Stargate (Caldari System),,100000000000.0000000000,10000000.0000000000,0E-10,1,1,None,0,None,None,32,235
17,10,Stargate (Amarr Constellation),,100000000000.0000000000,100000000.0000000000,0E-10,1,4,None,0,None,None,32,236
18,458,Plagioclase,"Plagioclase is not amongst the most valuable ore types around, but it contains a large amount of <a href=showinfo:34>Tritanium</a> and is thus always in constant demand. It also yields some <a href=showinfo:36>Mexallon</a>.

Available primarily in high security status star systems.",99999999999999996863366107917975552.0000000000,0.3500000000,0E-10,100,None,12800.0000,1,516,230,None,0
19,461,Spodumain,"Spodumain is amongst the most desirable ore types around, as it contains high volumes of the most heavily demanded resource and some amounts of the more precious minerals. Huge volumes of <a href=showinfo:34>Tritanium</a> and moderate amounts of <a href=showinfo:37>Isogen</a>, <a href=showinfo:38>Nocxium</a>, <a href=showinfo:39>Zydrine</a> and <a href=showinfo:40>Megacyte</a> can be obtained by refining these rocks.",99999999999999996863366107917975552.0000000000,16.0000000000,0E-10,100,4,1149400.0000,1,517,1274,None,0
20,457,Kernite,"Kernite is a fairly common ore type that yields fair amounts of <a href=showinfo:36>Mexallon</a> and <a href=showinfo:37>Isogen</a>.

Available primarly in low and null security status and wormhole systems.",99999999999999996863366107917975552.0000000000,1.2000000000,0E-10,100,None,74916.0000,1,523,1270,None,0
21,454,Hedbergite,"Hedbergite is sought after for its high concentration of <a href=showinfo:35>Pyerite</a> and <a href=showinfo:38>Nocxium</a>.

Available primarily in low security status star systems.",99999999999999996863366107917975552.0000000000,3.0000000000,0E-10,100,4,337408.0000,1,527,1269,None,0
22,450,Arkonor,"Arkonor is one of the rarest and most sought-after ores in the known universe. A sizable nugget of this can sweep anyone from rags to riches in no time. It has high amount of <a href=showinfo:40>Megacyte</a>, and also contains some <a href=showinfo:36>Mexallon</a> and <a href=showinfo:35>Pyerite</a>.

Available primarily in null security status and wormhole systems.",99999999999999996863366107917975552.0000000000,16.0000000000,0E-10,100,4,3068504.0000,1,512,1277,None,0
23,12,Cargo Container,This cargo container is flimsily constructed and may not survive the rigors of space for more than an hour or so.,10000.0000000000,55000.0000000000,55000.0000000000,1,None,None,0,None,16,None,1176
24,13,Ring,,99999999999999996863366107917975552.0000000000,1.0000000000,0E-10,1,None,None,0,None,0,None,0
25,14,Corpse Male,,80.0000000000,2.0000000000,0E-10,1,None,None,1,None,398,None,20373
26,16,Office Folder,,0E-10,1.0000000000,0E-10,1,None,None,0,None,None,None,0
27,16,Office,,0E-10,1.0000000000,0E-10,1,None,None,0,None,None,None,0
28,16,Factory Folder,,0E-10,1.0000000000,0E-10,1,None,None,0,None,None,None,0
29,17,Credits,,0E-10,0E-10,0E-10,57344,None,None,0,None,21,None,0
30,19,Faction,,0E-10,0E-10,0E-10,1,None,None,0,None,None,None,0
34,18,Tritanium,"The main building block in space structures. A very hard, yet bendable metal. Cannot be used in human habitats due to its instability at atmospheric temperatures. Very common throughout the central regions of known universe.

May be obtained by reprocessing the following ores and their variations available in high security status star systems: <a href=showinfo:1230>veldspar</a>, <a href=showinfo:1228>scordite</a>, and <a href=showinfo:18>plagioclase</a>.

It is also present in huge amounts in rare ores such as <a href=showinfo:19>spodumain</a>, <a href=showinfo:52316>bezdnacine</a>, <a href=showinfo:52315>rakovene</a> and <a href=showinfo:52306>talassonite</a>.

Tritanium can also be found in null security status star systems in <a href=showinfo:81900>kylixium</a>, <a href=showinfo:82016>nocxite</a>, <a href=showinfo:82205>ueganite</a>, <a href=showinfo:82163>hezorime</a>, and <a href=showinfo:81975>griemeer</a>, but only in trace quantities.",0E-10,0.0100000000,0E-10,1,None,2.0000,1,1857,22,None,0
35,18,Pyerite,"A soft crystal-like mineral with a very distinguishing orange glow as if on fire. Used as conduit and in the bio-chemical industry. Commonly found in many asteroid-ore types.

May be obtained by reprocessing the following ores and their variations:

High security status star systems: <a href=showinfo:1228>scordite</a>, and <a href=showinfo:1224>pyroxeres</a>.

Low security status star systems: <a href=showinfo:1224>pyroxeres</a>, <a href=showinfo:1227>omber</a>, <a href=showinfo:21>hedbergite</a>, <a href=showinfo:1229>gneiss</a>, and <a href=showinfo:1225>crokite</a>.

Null security status star systems: <a href=showinfo:1224>pyroxeres</a>, <a href=showinfo:1223>bistot</a>, <a href=showinfo:22>arkonor</a>, <a href=showinfo:81900>kylixium</a>, and <a href=showinfo:82016>nocxite</a>.

Wormhole systems: <a href=showinfo:1224>pyroxeres</a>, <a href=showinfo:1227>omber</a>, <a href=showinfo:1229>gneiss</a>, <a href=showinfo:1223>bistot</a>, and <a href=showinfo:22>arkonor</a>.

The rare ore <a href=showinfo:74521>mordunium</a> also contains significant quantities and is found primarily in nullsec and W-space systems containing A0 (Blue Small) stars, as well as surveyed locations on the borders of empire and nullsec space.",0E-10,0.0100000000,0E-10,1,None,8.0000,1,1857,400,None,0
36,18,Mexallon,"Very flexible metallic mineral, dull to bright silvery green in color. Can be mixed with <a href=showinfo:34>Tritanium</a> to make extremely hard alloys or it can be used by itself for various purposes. Fairly common in most regions.

May be obtained by reprocessing the following ores and their variations:

High security status star systems: <a href=showinfo:1224>pyroxeres</a>, and <a href=showinfo:18>plagioclase</a>.

Low security status star systems: <a href=showinfo:1224>pyroxeres</a>, <a href=showinfo:20>kernite</a>, <a href=showinfo:1226>jaspet</a>, <a href=showinfo:1229>gneiss</a>, <a href=showinfo:1232>dark ochre</a>, and <a href=showinfo:1225>crokite</a>.

Null security status star systems: <a href=showinfo:1224>pyroxeres</a>, <a href=showinfo:20>kernite</a>, <a href=showinfo:1223>bistot</a>, <a href=showinfo:22>arkonor</a>, and <a href=showinfo:81900>kylixium</a>.

Wormhole systems: <a href=showinfo:1224>pyroxeres</a>, <a href=showinfo:20>kernite</a>, <a href=showinfo:1229>gneiss</a>, <a href=showinfo:1223>bistot</a>, and <a href=showinfo:22>arkonor</a>.",0E-10,0.0100000000,0E-10,1,None,32.0000,1,1857,401,None,0
37,18,Isogen,"Light-bluish crystal, formed by intense pressure deep within large asteroids and moons. Used in electronic and weapon manufacturing. Only found in abundance in a few areas.

May be obtained by reprocessing the following ores and their variations:

Low security status star systems: <a href=showinfo:1227>omber</a>, <a href=showinfo:20>kernite</a>, <a href=showinfo:1231>hemorphite</a>, <a href=showinfo:1229>gneiss</a>, and <a href=showinfo:1232>dark ochre</a>.

Null security status star systems: <a href=showinfo:20>kernite</a>, <a href=showinfo:81975>griemeer</a>, and <a href=showinfo:82163>hezorime</a>.

Wormhole systems: <a href=showinfo:1227>omber</a>, <a href=showinfo:20>kernite</a>, and <a href=showinfo:1229>gneiss</a>.

It is also present in huge amounts in rare ores like <a href=showinfo:19>spodumain</a>, <a href=showinfo:52316>bezdnacine</a> and <a href=showinfo:52315>rakovene</a>.

The rare ore <a href=showinfo:74525>ytirium</a> also contains significant quantities and is found primarily in nullsec and W-space systems containing A0 (Blue Small) stars, as well as surveyed locations on the borders of empire and nullsec space.",0E-10,0.0100000000,0E-10,1,None,128.0000,1,1857,402,None,0
38,18,Nocxium,"A highly volatile mineral only formed during supernovas, thus severely limiting the extent of its distribution. Vital ingredient in capsule production, making it very coveted.

May be obtained by reprocessing the following ores and their variations available in low security status star systems: <a href=showinfo:1226>jaspet</a>, <a href=showinfo:1231>hemorphite</a>, <a href=showinfo:21>hedbergite</a>, <a href=showinfo:1232>dark ochre</a>, and <a href=showinfo:1225>crokite</a>.

It is also present in significant amounts in rare ores like <a href=showinfo:19>spodumain</a> and <a href=showinfo:52306>talassonite</a>.

Nocxium can also be found in null security status star systems in <a href=showinfo:81900>kylixium</a>, <a href=showinfo:82016>nocxite</a>, <a href=showinfo:82205>ueganite</a>, <a href=showinfo:82163>hezorime</a>, and <a href=showinfo:81975>griemeer</a>.",0E-10,0.0100000000,0E-10,1,None,512.0000,1,1857,1201,None,0
